date,MB_MW,MT_MW,MN_MW,HT_MW
2025-06-01 00:00:00,17001.766,3496.802,15004.527,35503.095
2025-06-01 01:00:00,15999.859,3344.5706,14313.352,33657.7816
2025-06-01 02:00:00,15532.213,3123.1042,13276.407,31931.7242
2025-06-01 03:00:00,14951.372,3051.524,12896.191,30899.087
2025-06-01 04:00:00,14833.934,3104.0618,12837.269,30775.2648
2025-06-01 05:00:00,15008.659,3206.3003,12788.298,31003.257299999997
2025-06-01 06:00:00,14783.797,3213.6606,12299.503,30296.960600000002
2025-06-01 07:00:00,15667.589,3148.2341,12099.935,30915.7581
2025-06-01 08:00:00,15901.578,3209.3647,12599.616,31710.5587
2025-06-01 09:00:00,16294.218,3350.267,13197.366,32841.851
2025-06-01 10:00:00,17284.06,3536.6726,13294.975,34115.7076
2025-06-01 11:00:00,17577.271,3551.628,13095.864,34224.763
2025-06-01 12:00:00,16963.53,3500.8035,12878.388,33342.7215
2025-06-01 13:00:00,16921.371,3675.7463,14028.987,34626.1043
2025-06-01 14:00:00,17365.568,3833.1763,14611.216,35809.9603
2025-06-01 15:00:00,17874.953,3863.3188,14902.251,36640.522800000006
2025-06-01 16:00:00,18034.936,3913.2344,14773.061,36721.231400000004
2025-06-01 17:00:00,18501.416,3934.4775,14228.742,36664.635500000004
2025-06-01 18:00:00,18827.223,3749.0542,13906.893,36483.1702
2025-06-01 19:00:00,18615.424,3673.378,14266.911,36555.713
2025-06-01 20:00:00,17836.477,3600.4011,14593.648,36030.526099999995
2025-06-01 21:00:00,17729.188,3724.6062,15147.637,36601.4312
2025-06-01 22:00:00,17542.602,3688.3538,14997.728,36228.6838
2025-06-01 23:00:00,17333.436,3467.4983,13998.851,34799.7853
2025-06-02 00:00:00,16270.424,3285.28,13295.8545,32851.5585
2025-06-02 01:00:00,15368.039,3026.9922,12569.237,30964.2682
2025-06-02 02:00:00,14943.052,2879.6287,11991.861,29814.5417
2025-06-02 03:00:00,14532.9375,2849.5012,11802.636,29185.074699999997
2025-06-02 04:00:00,14545.409,2903.6672,11609.529,29058.605199999998
2025-06-02 05:00:00,15169.47,3063.7393,12105.327,30338.5363
2025-06-02 06:00:00,15678.825,3217.0708,12580.617,31476.512800000004
2025-06-02 07:00:00,16766.064,3217.13,13351.366,33334.56
2025-06-02 08:00:00,17380.201,3335.6035,14997.3545,35713.159
2025-06-02 09:00:00,18476.033,3525.7068,16338.349,38340.0888
